Trade_ID,Open_Date,Close_Date,Trade_Length,Ticker,Width,PnL,Strategy
,2020-09-29,2020-09-30,1.00,FTCH,0,1.7,CSP
,2020-10-01,2020-10-21,20.00,WKHS,0,-13.43,CSP
,2020-10-05,2020-10-15,10.00,SQQQ,0,-107.28,CSP
,2020-10-06,2020-11-19,44.00,FXI,2,-137.89,IC
,2020-10-08,2020-10-23,15.00,UNG,2.5,10.12,IC
,2020-10-19,2020-10-27,8.00,GOLD,0,-21.43,CSP
,2020-10-27,2020-11-04,8.00,AMD,1.5,11.8,IC_E
,2020-10-29,2020-10-30,1.00,TWTR,5,15.31,IC_E
,2020-11-10,2020-11-16,6.00,T,0,12.58,CSP
,2020-11-12,2020-11-18,6.00,JD,2,46.82,IC_E
,2020-11-12,2020-11-16,4.00,M,0,4.28,CSP
,2020-11-16,2020-12-07,21.00,SLV,0,15.58,CSP
,2020-12-02,2020-12-10,8.00,ATVI,2.5,90,Vertical
,2020-12-10,2020-12-23,13.00,STMP,5,93.13,Vertical
,2021-01-07,2021-01-25,18.00,AAPL,5,95.4,Vertical
,2021-01-07,2021-02-02,26.00,NET,5,70.15,Vertical
,2021-01-14,2021-02-09,26.00,DKNG,0,242.39,PMCC
,2021-01-25,2021-02-04,10.00,BB,0,-101.6,Vertical
,2021-01-26,2021-01-27,1.00,NOK,2.5,105.27,Vertical
,2021-01-28,2021-02-04,7.00,BA,2.5,62.15,Vertical
,2021-02-02,2021-03-18,44.00,PTON,5,-359.86,Vertical
,2021-02-02,2021-02-08,6.00,SQ,2.5,67.15,Vertical
,2021-02-04,2021-02-17,13.00,JD,2.5,53.42,Vertical
,2021-02-08,2021-03-10,30.00,RKT,0,29.29,CSP
,2021-02-08,2021-04-09,60.00,AAPL,2.5,4.43,Vertical
,2021-02-08,2021-03-11,31.00,FB,5,92.15,Vertical
,2021-02-12,2021-03-09,25.00,NET,5,-277.86,Vertical
,2021-02-17,2021-03-01,12.00,DIS,5,91.15,Vertical
,2021-02-19,2021-03-09,18.00,V,5,101.42,Vertical
,2021-02-25,2021-03-29,32.00,WMT,5,131.16,Vertical
,2021-03-10,2021-04-05,26.00,RCL,5,95.46,Vertical
,2021-03-11,2021-04-13,33.00,SLV,1.5,12.9,Vertical
,2021-04-13,2021-04-21,8.00,NFLX,5,98.15,Vertical
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
