id,trade_group_id,entry_date,ticker,strike1,strike1T,strike1E,strike2,strike2T,strike2E,strike3,strike3T,strike3E,strike4,strike4T,strike4E,cost,trdprice,BRP,strategy
,fdb0083b-6cdc-4fcf-9e3d-a3ad2f3e3b53,2020-10-12,AMD,80,C,2022-01-21,105,C,2021-01-15,,,,,,,-2354.42,-25.7,,PMCC
,fdb0083b-6cdc-4fcf-9e3d-a3ad2f3e3b53,2021-01-13,AMD,105,C,2021-01-15,100,C,2021-01-29,,,,,,,204.28,2.05,,PMCC
,fdb0083b-6cdc-4fcf-9e3d-a3ad2f3e3b53,2021-01-29,AMD,100,C,2021-01-29,90.5,C,2021-02-19,,,,,,,205.28,2.06,,PMCC
,fdb0083b-6cdc-4fcf-9e3d-a3ad2f3e3b53,2021-02-09,AMD,90.5,C,2021-02-19,100,C,2021-03-19,,,,,,,-38.43,-0.4,,PMCC
,fdb0083b-6cdc-4fcf-9e3d-a3ad2f3e3b53,2021-03-10,AMD,100,C,2021-03-19,88,C,2021-03-19,,,,,,,16.58,0.17,,PMCC
,fdb0083b-6cdc-4fcf-9e3d-a3ad2f3e3b53,2021-03-18,AMD,88,C,2021-03-19,90,C,2021-04-16,,,,,,,98.28,1.02,,PMCC
,fdb0083b-6cdc-4fcf-9e3d-a3ad2f3e3b53,2021-04-13,AMD,90,C,2021-04-16,90,C,2021-05-21,,,,,,,112.58,1.14,,PMCC
,db6c79ed-5ff5-4e64-9a28-6a83a1b090c4,2021-03-09,ARKF,45,C,2023-01-20,64.82,C,2021-04-16,,,,,,,-1611.42,-16.15,,PMCC
,db6c79ed-5ff5-4e64-9a28-6a83a1b090c4,2021-03-29,ARKF,64.82,C,2023-04-16,56,C,2021-05-21,,,,,,,93.58,0.95,,PMCC
,36401f14-6b33-4966-ba14-37af781e3352,2021-03-29,DIS,170,P,2021-05-21,175,P,2021-05-21,,,,,,,131.29,1.33,,Vertical
,464ad8e6-d6f3-4fec-bedc-358f898b38f6,2021-03-09,QQQ,336,P,2021-04-16,340,P,2021-04-16,,,,,,,48.58,0.5,,Vertical
,464ad8e6-d6f3-4fec-bedc-358f898b38f6,2021-04-13,QQQ,336,P,2021-05-21,340,P,2021-05-21,,,,,,,-12.85,-0.15,,Vertical
,1de1dfea-6220-496a-8b35-08646edf3982,2021-04-19,RIDE,9,P,2021-05-21,,,,,,,,,,132.29,1.34,,CSP
,1ed02f65-3f39-46a1-9fc9-d2c654a00c30,2021-03-29,JPM,140,P,2021-05-21,145,P,2021-05-21,,,,,,,123.58,1.25,,Vertical
,4a668655-621e-4b05-9d29-3462b677a255,2021-01-27,NOK,10,C,2023-01-20,,,,,,,,,,-151.14,1.5,,NC
,a395e2e4-f3f5-4f20-8046-a189bcd8a27e,2021-04-07,QS,35,P,2021-05-21,40,P,2021-05-21,,,,,,,125.75,1.28,,Vertical
